,Unnamed: 0,id,title,point,cast
131,131,mm43692,خداحافظ دختر شیرازی,86,"'c6331', 'c5687', 'c12206'"
132,132,mm43668,۲۳ نفر,92,"'c7346', 'c43718', 'c43719'"
133,133,mm43502,مطرب,82,"'c6121', 'c5902', 'c6207'"
134,134,mm43158,کلوپ همسران,74,"'c2362', 'c2511', 'c5726'"
135,135,mm42592,مشت آخر,74,"'c7562', 'c4093', 'c6000'"
136,136,mm42636,ایده اصلی,87,"'c4091', 'c5911', 'c8568'"
137,137,mm42640,کروکودیل,68,"'c9714', 'c4094', 'c5683'"
138,138,mm42426,رحمان ۱۴۰۰,82,"'c5951', 'c2706', 'c10787'"
139,139,mm41880,دختر شیطان,74,"'c2220', 'c41910', 'c41911'"
140,140,mm41898,شاه کش,48,"'c1832', 'c7315', 'c16012'"
141,141,mm41225,بهشت گمشده,80,"'c5725', 'c5687', 'c13251'"
142,142,mm41043,زمان در حبس قصر,43,"'c39869', 'c41044', 'c41045'"
143,143,mm40702,پیلوت,68,"'c4123', 'c1847', 'c40699'"
144,144,mm40456,آن ها,53,"'c6331', 'c7579', 'c18250'"
145,145,mm40427,قهوه برزیلی,46,"'c10067', 'c40429', 'c40428'"
146,146,mm40154,چاقی,60,"'c2220', 'c7708', 'c6532'"
147,147,mm40195,استودیو نماوا: اسکار ۲۰۲۰,66,
148,148,mm39860,ترور,59,"'c7277', 'c6316', 'c27678'"
149,149,mm39379,درخونگاه,84,"'c5801', 'c14965', 'c8328'"
150,150,mm39248,به وقت پازولینی,52,"'c39249', 'c37714', 'c37766'"
151,151,mm38990,غلامرضا تختی,93,"'c38995', 'c38996', 'c38997'"
152,152,mm38948,زهرمار (ویژه ناشنوایان),70,"'c3738', 'c6331', 'c5726'"
153,153,mm38947,سامورایی در برلین (ویژه ناشنوایان),72,"'c2220', 'c3741', 'c5775'"
154,154,mm38851,مردی که از آستینش برف می‌ بارید,60,"'c38853', 'c38854', 'c38855'"
155,155,mm38814,قسم,90,"'c1832', 'c2706', 'c13610'"
156,156,mm38466,نبات,82,"'c515', 'c4059', 'c14567'"
157,157,mm38313,سرکوب,50,"'c7612', 'c2513', 'c12841'"
158,158,mm37953,زهرمار,75,"'c3738', 'c6331', 'c5726'"
159,159,mm37702,مرگ تصادفی یک آنارشیست,61,"'c37714', 'c37715', 'c37716'"
160,160,mm37756,مرگ فیدل,40,"'c546', 'c13532', 'c37758'"
161,161,mm37344,سامورایی در برلین,80,"'c2220', 'c3741', 'c5775'"
162,162,mm37341,نفس های آرام,57,"'c5713', 'c5966', 'c6529'"
163,163,mm36808,روسی,38,"'c6123', 'c2538', 'c1845'"
164,164,mm36461,تپلی و من,81,"'c5723', 'c2511', 'c3443'"
165,165,mm36320,شبی که ماه کامل شد (ویژه ناشنوایان),81,"'c5902', 'c7657', 'c2866'"
166,166,mm36243,آستیگمات,70,"'c6207', 'c528', 'c2513'"
167,167,mm35815,ایکس لارج,65,"'c2285', 'c2362', 'c3443'"
168,168,mm31419,پیشونی سفید ۳,84,"'c3448', 'c2359', 'c2362'"
169,169,mm35568,کلاسیکو,92,"'c8568', 'c3741'"
170,170,mm35368,زندانی ها (ویژه ناشنوایان),61,"'c8330', 'c14783', 'c7763'"
171,171,mm35134,شبی که ماه کامل شد,88,"'c5902', 'c7657', 'c2866'"
172,172,mm34763,قصر شیرین,78,"'c5680', 'c11240', 'c34932'"
173,173,mm34597,چهار انگشت (ویژه ناشنوایان),65,"'c5815', 'c4123', 'c11993'"
174,174,mm34092,زندانی ها,70,"'c8330', 'c14783', 'c7763'"
175,175,mm33428,تعصب,58,"'c33429', 'c28222', 'c33430'"
176,176,mm33369,چهار انگشت,77,"'c5815', 'c4123', 'c11993'"
177,177,mm31125,ما همه با هم هستیم  (ویژه ناشنوایان),55,"'c3737', 'c6528', 'c4123'"
178,178,mm30870,اتاق تاریک,82,"'c8503', 'c7120', 'c30872'"
179,179,mm30805,هستی,51,"'c30807', 'c30808', 'c30809'"
180,180,mm30548,ما همه با هم هستیم,58,"'c3737', 'c6528', 'c4123'"
181,181,mm29801,نیوکاسل,67,"'c11475', 'c2850', 'c5816'"
182,182,mm28526,برگ جان,69,"'c15337', 'c6513', 'c10219'"
183,183,mm28160,تگزاس ۲ (ویژه ناشنوایان),81,"'c2360', 'c525', 'c8568'"
184,184,mm27881,تگزاس ۲,88,"'c2360', 'c525', 'c8568'"
